Decade	Year of Release Date	Title	Genres	Poster Path	Number of Records	Revenue
1950	1953	The Robe	[{'id': 18, 'name': 'Drama'}]	/v3Bf2Tfbgdj5fOKbIfQvH7YPlFD.jpg	1	36,000,000
1950	1953	The War of the Worlds	[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]	/kCbFRaaDob0bmRjqafgaDTFpGJJ.jpg	1	2,000,000
1950	1953	Titanic	[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]	/8DMS4zPRF3uH4BZ8OC4GtZ8ewD9.jpg	1	4,905,000
1950	1954	20,000 Leagues Under the Sea	[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]	/pdi0lk5a0Yaq2HAk5v7SAj8oxT7.jpg	1	28,200,000
1950	1954	Creature from the Black Lagoon	[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]	/hQ3k0gAh2Hv2uqrMff0gqxZDJKy.jpg	1	1,300,000
1950	1954	Dial M for Murder	[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/xrpK1PyckNWmRxU4kZURfaCyboS.jpg	1	3,000,000
1950	1954	On the Waterfront	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]	/2AKM5RxGoerG5v1x4TWu36MDxqT.jpg	1	9,600,000
1950	1954	Rear Window	[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]	/oXbT7vlLmZ76kWoHe5XJYuyJUgp.jpg	1	36,764,313
1950	1954	Red Garters	[{'id': 37, 'name': 'Western'}]	/tHeDRZyEauekCP3zNCiIxTwiS1g.jpg	1	1,300,000
1950	1954	Riding Shotgun	[{'id': 37, 'name': 'Western'}]	/7BQeVnWief7ZvlH9aK0X9CHMtYa.jpg	1	1,400,000
1950	1954	Sabrina	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/7ITDmatHa2yf5UTzjwaKAvf3Xr6.jpg	1	10,000,000
1950	1954	Seven Brides for Seven Brothers	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 10402, 'name': 'Music'}]	/42uIMPDWlJLexVGhj7zXYP1fchQ.jpg	1	5,000,000
1950	1954	Seven Samurai	[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]	/v6xrz4fr92KY1oNC3HsEvrsvR1n.jpg	1	271,841
1950	1954	The Caine Mutiny	[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]	/Aata3SsDejMC5pEEtfzDv7aPRTJ.jpg	1	21,750,000
1950	1954	The Egyptian	[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]	/8lkdv01z8TJ4kkhtvnJOPGzm2zq.jpg	1	15,000,000
1950	1954	The Last Time I Saw Paris	[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]	/rerbqTR085seifQjy7bpnEJJ9qI.jpg	1	105
1950	1954	The Silver Chalice	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/h5hWjFAu5rMVUGtTUx7pO1kg2jZ.jpg	1	3,200,000
1950	1955	All That Heaven Allows	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	/2dtCU4kobdzTN3XfPqs6XcxR5Ht.jpg	1	3,100,000
1950	1955	Bad Day at Black Rock	[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]	/ugKmQAQrjcFcxNq6DsxRPnIOXn8.jpg	1	3,788,000
1950	1955	East of Eden	[{'id': 18, 'name': 'Drama'}]	/hjH1uLOySpzgBdm1UQYjTV5yLav.jpg	1	5
1950	1955	Lady and the Tramp	[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]	/AqQpqEn33UYExlAoWA02Hizb2lc.jpg	1	93,600,000
